baseline,scope,stage,projects,capacity_mtpa,capacity_basis
IEA CCUS Projects Database 2026 — official workbook,1110 named workbook projects; announcements current to February 2026,operating,86,95.136,"mixed capture and storage injection; see basis column, never additive together"
IEA CCUS Projects Database 2026 — official workbook,1110 named workbook projects; announcements current to February 2026,construction,66,129.264,"mixed capture and storage injection; see basis column, never additive together"
IEA CCUS Projects Database 2026 — official workbook,1110 named workbook projects; announcements current to February 2026,planned,877,2042.196,"mixed capture and storage injection; see basis column, never additive together"
GCCSI Global Status of CCS 2025,Global in-construction headline; 47 named construction facilities,construction,47,44,capture capacity headline; T&S facilities have no capture value
