source_project_id,project_name,canonical_project_id,mapping_status,country,lifecycle_stage,expected_operational_year,industry,capacity_basis,capture_capacity_mtpa,source_vintage,source_url
gccsi-2025-construction-032,BKV East Texas,us-bkv-east-texas,matched,United States,construction,2027,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-033,Northern Endurance Transport and Storage,uk-northern-endurance,matched,United Kingdom,construction,2028,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-034,Eni Hynet North West CO₂ Transport and Storage,uk-hynet,matched,United Kingdom,construction,2028,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-035,Shell Atlas Carbon Storage Hub,,unmatched,Canada,construction,2028,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-036,Air Products Blue But Better,,unmatched,Canada,construction,2028,Hydrogen / Ammonia / Fertiliser,capture_capacity,3.0,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-037,Dow Fort Saskatchewan ethylene CCS,,unmatched,Canada,construction,2028,Chemical,capture_capacity,2.0,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-038,NZT Power,,unmatched,United Kingdom,construction,2028,Natural Gas Power Generation and Heat,capture_capacity,2.0,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-039,Beccs Stockholm,se-stockholm-exergi,matched,Sweden,construction,2028,Bioenergy Power Generation and Heat,capture_capacity,0.8,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-040,Shell Polaris (Scotford Complex),,unmatched,Canada,construction,2028,Hydrogen / Ammonia / Fertiliser,capture_capacity,0.65,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-041,ADNOC Hail & Ghasha Concession Fields,,unmatched,United Arab Emirates,construction,2028,Natural Gas / LNG,capture_capacity,1.5,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-042,Air Products Louisiana Clean Energy Complex,,unmatched,United States,construction,2028,Hydrogen / Ammonia / Fertiliser,capture_capacity,5.0,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-043,BP Tangguh LNG,id-tangguh-ucc,matched,Indonesia,construction,2028,Natural Gas / LNG,capture_capacity,3.0,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-044,CF Industries Blue Point,,unmatched,United States,construction,2029,Hydrogen / Ammonia / Fertiliser,capture_capacity,2.3,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-045,Hafslund Oslo Celsio Waste-to-Energy Plant,,unmatched,Norway,construction,2029,Waste-to-Energy,capture_capacity,0.35,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-046,CNPC Jilin Pipeline,,unmatched,China,construction,Under Evaluation,CO₂ Transport / Storage,not_reported_for_transport_storage,,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
gccsi-2025-construction-047,Yulin Integrated Coal Liquefication,,unmatched,China,construction,Under Evaluation,Chemical,capture_capacity,4.0,2025-07,https://www.globalccsinstitute.com/resources/global-status-report/
