source_project_id,project_name,country,storage_class,year,actual_stored_mt,value_status,source_vintage,source_url
london-2025-002,Snohvit,Norway,dedicated,2012,0.49,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2013,0.4,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2014,0.587,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2015,0.679,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2016,0.7,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2017,0.7,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2018,0.758,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2019,0.721,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2020,0.422,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2021,0.0,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2022,0.402,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2023,0.657,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-002,Snohvit,Norway,dedicated,2024,0.74,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,1996,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,1997,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,1998,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,1999,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2000,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2001,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2002,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2003,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2004,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2005,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2006,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2007,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2008,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2009,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2010,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2011,,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
london-2025-003,Carbfix Storage,Iceland,dedicated,2012,0.0,measured-actual-standardised,2025-11-12,https://zenodo.org/records/18016847
