source_project_id,project_name,country,region,project_partners,project_type,lifecycle_stage,source_status,project_phase,sector,subsector,capacity_basis,capacity_mtpa,announced_capacity_mtpa,cdr_capacity_mtpa,announcement_year,fid_year,announced_start_year,suspension_or_cancellation_year,co2_destination,parent_hub,reference_urls,source_vintage,source_url,source_form,canonical_project_id,mapping_status
iea-2026-0556,Hover cement works Hannover phase 2,Germany,Europe,"Holcim Group, Cool Planet Technologies",Capture,concept,Planned,2,Industry,Cement,capture_capacity,0.8,0.8,,2021,,,,Unknown/unspecified,,http://coolplanettech.com/wp/wp-content/uploads/2022/05/21-10-04-Hover-ESG-Announcment.pdf|https://www.royalwhitecement.com/news/holcim-deutschland-secures-government-funding-for-hover-cement-plant-carbon-capture-project/|http://coolplanettech.com/wp/wp-content/uploads/2022/10/22-09-29-CPT-Press-release-Final.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0557,GO4ZERO Obourg,Belgium,Europe,"Holcim Group, Air Liquide",Capture,concept,Planned,,Industry,Cement,capture_capacity,1.1,1.1,,2022,,2029,,Dedicated storage,Antwerp@C,https://totalenergies.com/media/news/press-releases/TotalEnergies_and_Holcim_Join_Forces_for_First_Carbon-Free_Cement_Plant|https://www.airliquide.com/sites/airliquide.com/files/2023-05/air-liquide-and-holcim-collaborate-project-decarbonize-cement-production-belgium_6450b11c65bc4.pdf|https://www.globalcement.com/news/item/15498-holcim-belgium-secures-environmental-permit-for-obourg-cement-plant-kiln-upgrade|https://www.globalcement.com/news/item/15498-holcim-belgium-secures-environmental-permit-for-obourg-cement-plant-kiln-upgrade|https://www.holcim.com/who-we-are/our-stories/ccus-decarbonizing-building,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0560,ANRAV-CCUS (Devnya plant),Bulgaria,Europe,"Heidelberg Materials, EnEarth (transport & storage)",Full chain,concept,Planned,1,Industry,Cement,capture_capacity,0.8,0.8,,2022,,2028,,Dedicated storage,,https://www.heidelbergmaterials.com/en/pr-12-07-2022|https://www.heidelbergmaterials.com/en/pr-2023-01-20,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0561,VAIA HyNoVi project (Vicat Montalieu plant),France,Europe,"Vicat, Hynamics (EDF subsidiary)",CCU,concept,Planned,,Industry,Cement,capture_capacity,0.5,0.5,,2021,,2030,,Use,,https://www.vicat.com/news/low-carbon-trajectory-vicat-and-hynamics-unveil-hynovi-project|https://www.debatpublic.fr/sites/default/files/2025-03/Rhone_Decarbonation_dossier_concert.pdf|https://eeegr.com/wp-content/uploads/2024/03/20230310_Hynamics_Presentation-v2_0224.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0563,Project Air Perstorp Oxo capture,Sweden,Europe,"Perstorp Oxo AB (capture and methanol), FORTUM SVERIGE AB (hydrogen), Sydkraft AB, Uniper, Sunfire (electrolyser)",CCU,concept,Planned,,Industry,Chemicals,capture_capacity,0.07,0.07,,2019,,,,Use,,https://climate.ec.europa.eu/system/files/2022-07/LSC2_List_of_pre-selected_projects_6.pdf|https://projectair.se/en/news/project-air-receives-eur-30-million-from-the-swedish-energy-agency/|https://www.icis.com/explore/resources/news/2020/11/24/10578851/sweden-s-perstorp-to-produce-biomethanol-at-stenungsund-includes-ccu-unit/|https://climate.ec.europa.eu/system/files/2022-12/if_pf_2022_air_v5_en.pdf|https://www.perstorp.com/en/news_center/pressreleases/2023/project_air_granted_environmental_permit|https://projectair.se/en/news/perstorp-taking-full-ownership/|https://projectair.se/en/news/methanol-license-and-engineering-services-for-project-air-initiated/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0564,Hyskies Vattenfall CHP Lanzatech,Sweden,Europe,"Vattenfall, SAS, Lanzatech, Shell",CCU,concept,Planned,,Power and heat,Power and heat (waste),capture_capacity,0.2,0.2,,2021,,2030,,Use,,https://group.vattenfall.com/press-and-media/pressreleases/2021/sas-vattenfall-shell-and-lanzatech-to-explore-synthetic-sustainable-aviation-fuel-production|https://climate.ec.europa.eu/system/files/2022-07/LSC2_List_of_pre-selected_projects_6.pdf|Vattenfall fortsätter översyn av HySkies-projektets omfattning - Vattenfall|https://www.vattenfall.se/fokus/trender-och-innovation/fossilfritt-flyg/|https://group.vattenfall.com/se/nyheter-och-press/nyheter/2024/vattenfall-ser-over-hyskies-projektet|https://group.vattenfall.com/se/nyheter-och-press/nyheter/2024/vattenfall-fortsatter-oversyn-av-hyskies-projektets-omfattning,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0565,Go4ECOPlanet Kujawy,Poland,Europe,Holcim Polska (Holcim Group),Capture,concept,Planned,,Industry,Cement,capture_capacity,1.2,1.2,0.12,2022,2027,2031,,Dedicated storage,ECO2CEE,https://climate.ec.europa.eu/system/files/2022-07/LSC2_List_of_pre-selected_projects_6.pdf|https://www.go4ecoplanet.com/blog/lafarge-projekt-kujawy-go4ecoplanet-z-pozytywna-decyzja-srodowiskowa|https://climate.ec.europa.eu/system/files/2022-12/if_pf_2022_go4_en_0.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0567,Medway CCGT power station,United Kingdom,Europe,Oilex,Capture,concept,Planned,,Power and heat,Power (gas),capture_capacity,,,,2022,,,,Dedicated storage,Medway Hub CCS,https://www.synergiaenergy.com/sites/synergia-energy-ltd/files/synergia-energy-ltd/operations/united-kingdom/medway-hub-ccs-r7-we.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0568,Grain CCGT power station,United Kingdom,Europe,"Synergia Energy, Technip Energies (PDP), Aker Carbon Capture (PDP), Oilex",Capture,concept,Planned,,Power and heat,Power (gas),capture_capacity,2.0,2.0,,2022,,2027,,Dedicated storage,Acorn Isle of Grain to Peterhead shipping/Acorn CCS,https://www.synergiaenergy.com/sites/synergia-energy-ltd/files/synergia-energy-ltd/operations/united-kingdom/medway-hub-ccs-r7-we.pdf|https://akercarboncapture.com/?cision_id=9C7536F6175F2E14|https://www.uniper.energy/united-kingdom/news/uniper-awards-design-study-contracts-for-grain-carbon-capture-project/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0569,Damhead Creek CCGT power station,United Kingdom,Europe,Oilex,Capture,concept,Planned,,Power and heat,Power (gas),capture_capacity,,,,2022,,,,Dedicated storage,Medway Hub CCS,https://www.synergiaenergy.com/sites/synergia-energy-ltd/files/synergia-energy-ltd/operations/united-kingdom/medway-hub-ccs-r7-we.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0570,Medway Hub CCS,United Kingdom,Europe,Synergia Energy Ltd,T&S,concept,Planned,,CO2 T&S,CO2 T&S,storage_injection_capacity,6.0,6.0,,2022,2028,2032,,Dedicated storage,Medway Hub CCS,https://www.synergiaenergy.com/sites/synergia-energy-ltd/files/synergia-energy-ltd/operations/united-kingdom/medway-hub-ccs-r7-we.pdf|https://www.oedigital.com/news/506131-synergia-and-wintershall-dea-secure-uk-north-sea-carbon-storage-license-for-medway-hub-ccs-project|https://www.offshore-energy.biz/uk-firm-on-the-lookout-for-new-partner-in-north-sea-ccs-project/,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0571,Longford gas plant,Australia,Australia and New Zealand,ExxonMobil,Capture,concept,Planned,,Fuel transformation,Natural gas processing/LNG,capture_capacity,2.0,2.0,,2022,,2028,,Dedicated storage,Sea CCS hub,https://corporate.exxonmobil.com/-/media/global/files/locations/australia/info-bulletin-ccs-project-update-june-2024-endorsed.pdf,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0572,Co-op Renewable Diesel Complex (SK),Canada,North America,"Federated Co-operatives (FCL), Fluor and Whitecap Resources Inc.",Capture,concept,Planned,,Fuel transformation,Biodiesel,capture_capacity,,,,2021,,2027,,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),https://www.fcl.crs/news-reports/news/article/fcl-exploring-carbon-capture-with-whitecap-to-meet-emissions|https://www.newswire.ca/news-releases/whitecap-resources-inc-partners-with-federated-co-operatives-limited-to-reduce-co2-emissions-in-saskatchewan-807417476.html,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0573,Co-op Belle Plaine Ethanol Complex (SK),Canada,North America,"Federated Co-operatives (FCL), Whitecap Resources Inc. (MoU with FCL to capture, transport and store)",Capture,concept,Planned,,Fuel transformation,Bioethanol,capture_capacity,,,,2021,,2028,,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),https://www.fcl.crs/news-reports/news/article/fcl-exploring-carbon-capture-with-whitecap-to-meet-emissions|https://www.newswire.ca/news-releases/whitecap-resources-inc-partners-with-federated-co-operatives-limited-to-reduce-co2-emissions-in-saskatchewan-807417476.html,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0574,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn) (SK),Canada,North America,"Whitecap Resources Inc., Entropy Inc.",T&S,concept,Planned,2,CO2 T&S,CO2 T&S,storage_injection_capacity,3.0,1.2,,2021,2026,2027,,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),https://www.fcl.crs/news-reports/news/article/fcl-exploring-carbon-capture-with-whitecap-to-meet-emissions,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0579,Gulf Coast Sequestration Hub Lake Charles (LA),United States,North America,Gulf Coast Sequestration,Storage,concept,Planned,,CO2 T&S,CO2 storage,storage_injection_capacity,2.7,2.7,,2020,,2030,,Dedicated storage,Gulf Coast Sequestration Hub (LA),https://gcscarbon.com/media/gulf-coast-sequestration-makes-initial-filing-to-obtain-epa-permit-for-ccs-project/|https://gcscarbon.com/gulf-coast-sequestration-and-climeworks-sign-mou-to-develop-first-direct-air-capture-and-storage-hub-on-the-gulf-coast-in-louisiana/|https://www.businesswire.com/news/home/20221121005556/en/Gulf-Coast-Sequestration-and-Climeworks-Sign-MOU-to-Develop-First-Direct-Air-Capture-and-Storage-Hub-on-the-Gulf-Coast-in-Louisiana,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0581,Grandpuits biorefinery,France,Europe,"Air Liquide, TotalEnergies",CCU,construction,Under construction,,Fuel transformation,Refining,capture_capacity,0.11,0.11,,2022,2022,2026,,Use,,https://www.airliquide.com/group/press-releases-news/2022-11-22/circular-economy-air-liquide-and-totalenergies-innovate-produce-renewable-and-low-carbon-hydrogen|https://www.argusmedia.com/en/news-and-insights/latest-market-news/2669656-totalenergies-delays-cuts-size-of-grandpuits-hvo,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0582,Arcelor Mittal Air Liquide Low-carbon steel,France,Europe,ArcelorMittal,Capture,cancelled,Cancelled,2,Industry,Iron and steel,capture_capacity,1.0,1.0,,2020,,,2024,Dedicated storage,,https://corporate.arcelormittal.com/media/press-releases/arcelormittal-accelerates-its-decarbonisation-with-a-1-7-billion-investment-programme-in-france-supported-by-the-french-government,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
iea-2026-0583,Energy Recovery Facility Edmonton EcoPark,United Kingdom,Europe,North London Waste Authority (NLWA),Capture,concept,Planned,,Power and heat,Power and heat (waste),capture_capacity,,,,2020,,,,Dedicated storage,Bacton Thames Net Zero Initiative,http://www.northlondonheatandpower.london/project/|http://northlondonheatandpower.london/news/nlwa-takes-next-step-towards-carbon-capture-in-edmonton/|https://www.nlwa.gov.uk/news/edmonton-ecopark-steps-closer-towards-net-zero-and-beyond-major-new-partnership,2026-03-27,https://www.iea.org/data-and-statistics/data-product/ccus-projects-database,official_workbook,,unmatched-review
